"Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Hrcek","VA","VA11",0.113095238166667,0.0474700049798725,0.0982142855,0.053571429,0.178571429,0.019379548381344,0.419734780609566,0.089285714
"Hrcek","VA","VA15",0.165734635866667,0.122062390474758,0.172043011,0,0.439790576,0.031516373700467,0.736492947514949,0.188481675
"Hrcek","VA","VA22",0.511551155166667,0.274503351160408,0.5346534655,0.03960396,0.792079208,0.112065523837838,0.536609776730879,0.594059406
"Hrcek","VA","VA30",0.469696969833333,0.136262588897734,0.5090909095,0.272727273,0.6,0.0556289689716802,0.290107447246435,0.6
"Hrcek","VA","VA35",0.247706422,0.207185133889653,0.128440367,0.091743119,0.532110092,0.0845829767199773,0.836414059097962,0.110091743
"Hrcek","VA","VA6",0.134020618666667,0.137233495366104,0.0721649485,0.020618557,0.371134021,0.0560253398775925,1.02397300304536,0.082474227
"Hrcek","VA","VA9",0.3405405405,0.116184785362561,0.316216216,0.227027027,0.502702703,0.0580923926812804,0.341177544359247,0.502702703
"Hrcek","YE","YE11",0.063063063,0.0531455177982153,0.054054054,0,0.162162162,0.0216965667869382,0.842736068785864,0.054054054
"Hrcek","YE","YE19",0.278787878666667,0.237247763721967,0.2363636365,0.036363636,0.709090909,0.0968559939558676,0.850997413720534,0.109090909
"Hrcek","YE","YE20",0.135021097166667,0.185807378312568,0.0506329115,0,0.455696203,0.075855544551678,1.37613589440183,0
"Hrcek","YE","YE23",0.152263374333333,0.142626881879965,0.148148148,0,0.320987654,0.0582271807016872,0.936711684634863,0.320987654
"Hrcek","YE","YE24",0.2112359552,0.110775348591183,0.157303371,0.134831461,0.404494382,0.049540241936224,0.524415213718231,0.157303371
"Hrcek","YE","YE26",1.11111111116667,0.728710174694785,1.2291666665,0.125,1.916666667,0.297494683062769,0.655839157192514,1.916666667
