"Supervisor.PI","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Hrcek","AK",0.202332444382353,0.123414658184846,0.1732310315,0.049382716,0.555555556,0.0211654392645474,0.609959804328888,0.102564103
"Hrcek","GI",0.146306060153846,0.142973296086236,0.082392139,0,0.4784689,0.0280393702563998,0.977220601360559,0
"Hrcek","KA",0.147134147461538,0.0873984141385373,0.1326292305,0.021052632,0.347031963,0.0171402391980564,0.594004965172233,0.063157895
"Hrcek","MA",0.329667143044444,0.253428035549361,0.259109312,0.015625,0.9375,0.0377788209928403,0.768739138541309,0.08
"Hrcek","MU",0.210934714818182,0.197576425226385,0.1834755175,0,0.886956522,0.042123435393246,0.936670976120213,0.204255319
"Hrcek","RE",0.215147928469388,0.22401361057676,0.14479638,0,0.913043478,0.0320019443681086,1.04120737843234,0
"Hrcek","UM",0.384568253189189,0.312220461238499,0.310880829,0,1.077720207,0.0513287276436208,0.811872687485988,0.041450777
"Hrcek","VA",0.259277635163265,0.207518964719296,0.188481675,0,0.792079208,0.0296455663884709,0.800373563221614,0.089285714
"Hrcek","YE",0.328504540628571,0.4809986625998,0.157303371,0,1.916666667,0.0813036132429893,1.46420704468633,0
