"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Hrcek","NS",NA,"AK","AK1",5,"Hrcek_1_AK1_10; Hrcek_1_AK1_6; Hrcek_1_AK1_7; Hrcek_1_AK1_8; Hrcek_1_AK1_9",5,1,"1"
"Hrcek","NS",NA,"AK","AK11",5,"Hrcek_4_AK11_10; Hrcek_4_AK11_5; Hrcek_4_AK11_6; Hrcek_4_AK11_7; Hrcek_4_AK11_9",5,1,"4"
"Hrcek","NS",NA,"AK","AK3",6,"Hrcek_3_AK3_10; Hrcek_3_AK3_5; Hrcek_3_AK3_6; Hrcek_3_AK3_7; Hrcek_3_AK3_8; Hrcek_3_AK3_9",6,1,"3"
"Hrcek","NS",NA,"AK","AK4",6,"Hrcek_3_AK4_10; Hrcek_3_AK4_5; Hrcek_3_AK4_6; Hrcek_3_AK4_7; Hrcek_3_AK4_8; Hrcek_3_AK4_9",6,1,"3"
"Hrcek","NS",NA,"AK","AK5",4,"Hrcek_3_AK5_5; Hrcek_3_AK5_6; Hrcek_3_AK5_7; Hrcek_3_AK5_8",4,1,"3"
"Hrcek","NS",NA,"AK","AK6",3,"Hrcek_1_AK6_5; Hrcek_1_AK6_6; Hrcek_1_AK6_8",3,1,"1"
"Hrcek","NS",NA,"AK","AK9",5,"Hrcek_4_AK9_5; Hrcek_4_AK9_6; Hrcek_4_AK9_7; Hrcek_4_AK9_8; Hrcek_4_AK9_9",5,1,"4"
"Hrcek","NS",NA,"GI","GI10",6,"Hrcek_4_GI10_10; Hrcek_4_GI10_5; Hrcek_4_GI10_6; Hrcek_4_GI10_7; Hrcek_4_GI10_8; Hrcek_4_GI10_9",6,1,"4"
"Hrcek","NS",NA,"GI","GI11",5,"Hrcek_3_GI11_5; Hrcek_3_GI11_6; Hrcek_3_GI11_7; Hrcek_3_GI11_8; Hrcek_3_GI11_9",5,1,"3"
"Hrcek","NS",NA,"GI","GI2",5,"Hrcek_4_GI2_10; Hrcek_4_GI2_6; Hrcek_4_GI2_7; Hrcek_4_GI2_8; Hrcek_4_GI2_9",5,1,"4"
"Hrcek","NS",NA,"GI","GI7",6,"Hrcek_4_GI7_10; Hrcek_4_GI7_5; Hrcek_4_GI7_6; Hrcek_4_GI7_7; Hrcek_4_GI7_8; Hrcek_4_GI7_9",6,1,"4"
"Hrcek","NS",NA,"GI","GI9",4,"Hrcek_1_GI9_5; Hrcek_1_GI9_6; Hrcek_1_GI9_7; Hrcek_1_GI9_8",4,1,"1"
"Hrcek","NS",NA,"KA","KA1",6,"Hrcek_1_KA1_10; Hrcek_1_KA1_5; Hrcek_1_KA1_6; Hrcek_1_KA1_7; Hrcek_1_KA1_8; Hrcek_1_KA1_9",6,1,"1"
"Hrcek","NS",NA,"KA","KA10",5,"Hrcek_4_KA10_10; Hrcek_4_KA10_5; Hrcek_4_KA10_7; Hrcek_4_KA10_8; Hrcek_4_KA10_9",5,1,"4"
"Hrcek","NS",NA,"KA","KA13",4,"Hrcek_4_KA13_10; Hrcek_4_KA13_7; Hrcek_4_KA13_8; Hrcek_4_KA13_9",4,1,"4"
"Hrcek","NS",NA,"KA","KA2",6,"Hrcek_3_KA2_10; Hrcek_3_KA2_5; Hrcek_3_KA2_6; Hrcek_3_KA2_7; Hrcek_3_KA2_8; Hrcek_3_KA2_9",6,1,"3"
"Hrcek","NS",NA,"KA","KA3",5,"Hrcek_3_KA3_10; Hrcek_3_KA3_5; Hrcek_3_KA3_7; Hrcek_3_KA3_8; Hrcek_3_KA3_9",5,1,"3"
"Hrcek","NS",NA,"MA","MA12",6,"Hrcek_3_MA12_10; Hrcek_3_MA12_5; Hrcek_3_MA12_6; Hrcek_3_MA12_7; Hrcek_3_MA12_8; Hrcek_3_MA12_9",6,1,"3"
"Hrcek","NS",NA,"MA","MA13",6,"Hrcek_3_MA13_10; Hrcek_3_MA13_5; Hrcek_3_MA13_6; Hrcek_3_MA13_7; Hrcek_3_MA13_8; Hrcek_3_MA13_9",6,1,"3"
"Hrcek","NS",NA,"MA","MA18",6,"Hrcek_1_MA18_10; Hrcek_1_MA18_5; Hrcek_1_MA18_6; Hrcek_1_MA18_7; Hrcek_1_MA18_8; Hrcek_1_MA18_9",6,1,"1"
"Hrcek","NS",NA,"MA","MA19",5,"Hrcek_1_MA19_5; Hrcek_1_MA19_6; Hrcek_1_MA19_7; Hrcek_1_MA19_8; Hrcek_1_MA19_9",5,1,"1"
"Hrcek","NS",NA,"MA","MA20",6,"Hrcek_3_MA20_10; Hrcek_3_MA20_5; Hrcek_3_MA20_6; Hrcek_3_MA20_7; Hrcek_3_MA20_8; Hrcek_3_MA20_9",6,1,"3"
"Hrcek","NS",NA,"MA","MA3",6,"Hrcek_3_MA3_10; Hrcek_3_MA3_5; Hrcek_3_MA3_6; Hrcek_3_MA3_7; Hrcek_3_MA3_8; Hrcek_3_MA3_9",6,1,"3"
"Hrcek","NS",NA,"MA","MA5",6,"Hrcek_1_MA5_10; Hrcek_1_MA5_5; Hrcek_1_MA5_6; Hrcek_1_MA5_7; Hrcek_1_MA5_8; Hrcek_1_MA5_9",6,1,"1"
"Hrcek","NS",NA,"MA","MA7",4,"Hrcek_3_MA7_5; Hrcek_3_MA7_6; Hrcek_3_MA7_7; Hrcek_3_MA7_8",4,1,"3"
"Hrcek","NS",NA,"MU","MU1",3,"Hrcek_1_MU1_4; Hrcek_1_MU1_5; Hrcek_1_MU1_6",3,1,"1"
"Hrcek","NS",NA,"MU","MU10",5,"Hrcek_3_MU10_10; Hrcek_3_MU10_5; Hrcek_3_MU10_7; Hrcek_3_MU10_8; Hrcek_3_MU10_9",5,1,"3"
"Hrcek","NS",NA,"MU","MU11",6,"Hrcek_4_MU11_10; Hrcek_4_MU11_5; Hrcek_4_MU11_6; Hrcek_4_MU11_7; Hrcek_4_MU11_8; Hrcek_4_MU11_9",6,1,"4"
"Hrcek","NS",NA,"MU","MU5",5,"Hrcek_1_MU5_5; Hrcek_1_MU5_6; Hrcek_1_MU5_7; Hrcek_1_MU5_8; Hrcek_1_MU5_9",5,1,"1"
